,6581
reflections,11
stoutly,,1
DISTRIBUTOR,1
(would,1
bullies,,1
country.",3
noblest,2
businesses,1
frisking,1
veneration,,1
Clavileno,10
double,,1
youth's,1
idiots,1
fainting,,4
caballero,,1
neighbour's,1
gentles;",1
PERIL,2
express,7
finished,",1
broadest,1
nobles.,1
breast,27
nobles,,2
twenty.,1
spikes,1
"Mistress,2
caballeros,1
idiot,,1
doubled,3
spiked,1
witches,1
rejection,1
doublet,6
mischief,,5
opposing,4
"Nonsense!,1
fellow,",1
manly,1
"Vicar,1
aspect,,1
occurring,,1
expert,1
holds;,1
flame,2
eyelids,,1
veiled,,1
VISIT,2
forwardness,1
"Nice,1
encasing,,1
defunct,1
rasher,1
'neath,1
foreign,6
specimens,,1
Yet,4
mottled,,1
point,97
then,',1
patriarch,,1
formed,,1
then,",28
formed.,1
captains,,4
pamphlet,1
asserted,3
cages,,2
weaving,2
smote,9
screened,3
confirmatory,1
faithfully,5
grain,,2
entrance.,1
decorous,2
property.",2
resisted,3
peaceful.,1
shuffle.',1
answer:,2
grains,2
further;,2
rival,,3
Jaboneros,,1
Belisardas;,1
skiff,4
untimely;,1
Flora,,1
further.,2
further,,6
century,7
astound,1
enchantment.",2
strip,,2
DONOSO,,1
prayers,,5
prayers.,1
concoction,1
multos,1
luck,",2
doing;',1
corridor,2
26l.,,1
Altisidora's,3
creeping,,1
LV.,1
dressing-gown,,1
worship's,,3
development,3
Gutenberg-tm,53
strips,2
stript,1
play!,1
stove,,1
resounds,1
upbraiding,,1
ardour,5
returns.,1
fustian,1
LVI,1
task,20
employments;,1
Magalona,,1
regaling,1
withdraw,5
None,,1
Magalona;,1
darn,1
buildings.,1
"Birth",1
wine-presses,,1
sorry,,2
bunches,1
shape,17
name.",7
irritable,1
cut,61
count.",1
cup,2
marrying,14
jeered,1
source,7
cue,1
Notary,1
article.",1
Truth,2
LXIX.,1
knock,10
coach?",1
sceptres,,1
purveyor,1
scrivener's,1
foolish,14
DESPAIRING,2
valleys,7
"Alas,",1
absolutely,5
fancied,,1
teeth;',1
triumphing,2
candle,5
fancied;,1
Mallen,1
Majorca,2
culprit,2
penance,,3
decision,7
infliction,1
balmy,1
epic,1
penance;,1
December,,1
presence,,2
presence.,1
valley;,1
presence),1
taught,,2
valley,,2
valley.,1
presence;,1
gallop,,2
gallop.,1
know--,1
penances,2
Captain,9
gallop;,1
few,",2
relapsed,1
seating,2
'Is,3
bright,",1
liege,1
loveth,1
immortality,1
afield,,2
translate,4
WELL-CONSIDERED,2
invite,2
noticed,,2
hopes;,1
eighteen,5
planet,1
steeds.",1
hopes,,1
punishment;,2
curt,1
constant,12
stripped,21
Valladolid;,1
ventured;,1
money-seeker,,1
deprive,9
scarlet,4
Fickle,1
cure,31
curb,2
obtuse,1
Valladolid,,1
succeeded,,2
WELL,2
lying.",1
happens.",1
confine,2
race.",1
applied;,1
jasper.,1
jasper,,3
restoration,4
utterly,5
cottage,,1
"What,,3
"What!,9
patched;,1
cooked,1
implied,2
presenting,3
ignoramus,1
Lucia,,1
polished,,1
wilderness,,2
happy,,9
happy.,2
tombs,3
wrangle,1
hoard,,2
happy;,2
soul.",1
kneeling,,2
craft.",1
compose,7
(this,,1
literary,1
masculine,1
personages!,1
pleasing,10
with?",2
players.,1
presently,10
players,,1
Altisidora!,1
unhurt,2
dessert,1
more?",1
tomb.,1
tomb,,2
knight-adventurers,,1
entire,10
announcing,1
fright;,2
achievements.",1
stature,,4
stature.,1
seasonable.",1
humility,,1
COURSE;,2
ill-placed,1
safe,,8
Turn,,1
safe.,1
sallowness,2
famishing,,1
safe;,1
beast,,14
beast.,5
absolute,,1
saved,,1
listen.",2
access,13
'under,1
Tordesillas.,1
heart,",11
beasts,11
river,,8
packing,1
healing,2
straw-loft,1
Flanders,,1
Flanders.,1
climb,2
rejections,,1
clime,1
composed,14
'get,1
prize,,3
"Maria",1
Answer,3
prize;,1
Farewell.",1
amour,,3
Ciceronian,2
sleepest,2
prized,3
spearing,1
snatching,3
thorns,,2
prizes,2
'each,2
eggs.",1
such;,1
closing,3
delayed.",1
fetch,18
believe,",13
convenient,,1
high,,8
high.,2
darkening,1
varied,4
voracity,2
holds,17
Ye,4
confiscated.,1
noised,2
Toboso,37
justly,,1
NECESSARY,2
hight,1
syrup;,1
priests,,1
folly.,3
hold;,2
chasing,1
dinted,,1
of-that,1
folly",1
trembling,10
hold,,7
hold.,2
folly;,2
noise,,9
regain,,1
noise.,1
wanted,,3
wanted.,3
applicant,,1
belaboured.,2
mulct;,1
lance.",2
wedding,10
contriving,2
Beside,1
'For,5
horns,4
flattering,2
moment),,1
enactments,1
considerate,1
liberality.,1
aloud,",1
anywhere,'",1
abodes,,1
Palladium,1
fetch.,1
bolder,1
horn,,2
horn.,1
jeer,,1
wit:,1
Palacios,1
applicants,1
re-use,2
praised.",1
wit!,1
resistless,1
averred,1
waking,2
regardless,,1
perpetrated:,1
has,",3
meanest,,1
that;",1
credible,",1
barley,9
"Mine,,2
weak--,,1
approached,27
grunting,2
fourteen,8
seed-patch,,1
approaches,5
adventurers,,2
Possession.",1
backwards,3
yard,21
I.,6
Madrid,5
hinting,2
MOON,2
allied,1
mortal,15
abuse.,2
clarions,,1
braced,6
sack,11
Thoughts;,1
reached,90
excrescences,1
gaiety,,8
scant,1
gaiety;,1
"When?",1
taxes;,2
sealed,3
explanation,2
nobody,37
"See,4
beehives,,1
inestimable,2
volente,,1
cavern,3
have,2532
throat,14
numskull,,1
unmentioned.,1
Diego.,1
Diego,,4
Quixote:",1
incentive,1
precipice,1
Diego;,1
concerns,7
Tocho,,1
looking,,2
procure,5
prisoner,7
payment,14
inexorable,2
disease,2
occasion,36
"Above,1
catapult.,1
recess,3
bags,,2
reputation,,2
reputation.,3
hamlet,1
tearful,3
traitor,6
hare,,3
renown.",1
reputation;,3
thicker,1
handmaid,3
lolling,1
knowledge,25
begged,,1
malignity,,1
team,,1
Golias,1
prancing,1
self-praise,2
Manchegan,,1
discovers,2
starch,2
neigbbour's,1
COULD,2
came,",1
squalling,1
perfection,18
equerry.",1
Manchegans,1
AEneas,,7
ordain.",1
fixes,2
teams,1
tombs,,2
sorrow-laden,1
baldric,5
excesses,1
fixed,60
turkeys,1
racked,1
monarch;,1
pessima,,1
LEAVE,2
monarch,,1
imposition,2
Utrique;,1
reform,1
orators,,1
difficulties,6
encamped,1
enchanted'?,1
exclaimed,,47
grandiloquent,,1
sorrow,25
monarchy,1
doomed;,1
exclaimed:,7
gaunt-featured,,1
disport,1
canon;,4
Smollett's,1
joke,26
equal,34
"Would,3
canon,,9
canon.,1
touchstone,1
canon!,1
master;,17
master:,2
statues,1
Lope,13
toads,,2
ringing,,1
it's,50
mouthpiece,1
gurapas,2
seasoned,1
lady's,16
proofs,,2
abominate,,1
apace,,1
1.A.,1
plains,,1
apace;,1
Gonela,,1
Luis,23
lace-maker,1
statue,,3
Courteous,1
'So,1
welcoming,1
survey,1
Darinel,,1
also,",2
Nuno,2
Grasped,1
composure:,1
scarcity,,1
sister,,8
satires,3
delusion,4
Grove,,16
furnished.,2
Grove.,3
weighed,3
arrangements,4
closets,1
well-behaved,2
partner,2
Lope's,4
pedestal,4
tumbled,2
whirl,1
travellers;,1
travellers:,1
comparison,,2
tremble,4
UNHEARD-OF,4
travellers,,3
tumbler,2
somewhat,,4
"Unlucky,1
closet,,1
backpiece,,1
arrangement.,1
satire,,1
sisters,3
closet;,1
recourse,15
nevertheless,15
chastisement,5
exceedingly,5
diet.,1
comparisons,3
stores,5
nails,,3
resolve,,2
nails;,1
companions;,1
Fourth,1
LOVER,2
bushes,,2
resolve;,2
Amarilises,,1
Genoa,,1
civet,1
onward,4
recommending,2
begetteth,1
petronels,1
ought,97
resolved,68
readiness,,1
elapsed,1
resolves,1
Release,2
store.,1
woes.",1
indolence,,2
like,532
success,13
admitted,8
China,,2
good-for-nothing,3
high-heeled,1
bellows;,1
hail,4
hair,35
recommendation,1
blear-eyed,,1
"Quite,2
sane.",1
happens,12
enemy.",1
reals.",3
Barbary,,5
Barbary.,2
knights-errant-",1
discretion,8
discussed,,2
Barbary;,2
Bagatelle,1
Heaven,55
"Sure,1
sound;",1
loveletter,1
Virues,,1
happen;,2
Tyrians,1
drollest,6
introduces,1
tomb,4
introduced,3
happen.,3
happen,,5
speaker's,1
commonwealth,1
female,5
1634,1
elastic,1
rushed,6
rushes,1
inasmuch,16
November,2
thing--though,1
insured,1
misdeed,1
captives,12
Azpeitia,",1
care--,1
reputation.",1
vow--and,1
philosopher's,1
flit,3
"Ill-conditioned,1
thorn,2
replying,4
whisper,3
exceeded,2
butt-end,1
chronicler,,1
right-minded,1
dressed,37
detail,2
ducked,1
strewing,1
dresses,3
convicts,1
overthrown?,1
duke,",1
serviceable,,1
backstrokes,,1
April,2
overthrown,,2
stirred,16
beautifully;,1
ramble,1
observed,,15
Volunteers,1
adventures.",2
news,,7
Antaeus,,1
wont,,1
Tirteafuera,4
vermin,1
daughter's,2
wont;,1
signum!,1
signum,,1
appetite,9
inch,,1
admiration,,3
belonged.,1
belonged,,1
sierra;,1
(for,59
retchings,,1
haughtiness,1
caput,1
vastly,1
school,5
sierra,,2
Duenna;,1
conceive,5
Alvaro,",1
Quixote?",3
permission.,1
Duenna.,1
Duenna,,3
veritable,3
shoulders.,3
shoulders,,20
omitted.,1
direct,20
omitted,,1
shoulders;,3
licence,,2
blue,3
beard,",2
hide,33
favours;,1
Lover,",1
supplied,2
favours.,4
favours,,2
aged,,1
(in,3
supplies,1
revolved,1
now--why,1
prate,1
star-lit,1
acted.,1
acted,,4
faults,,3
acted;,1
resounded,2
abbess,1
crossbow,2
Is,25
Recoils,1
attending,2
leaves,28
ridicule,4
nails.",1
hid,,1
Alfonso,,1
settled,25
midway,1
prints,3
reply:,1
reply;,8
help!",2
patience,21
YANGUESANS,2
likewise.",1
reply.,4
reply,,19
knights-errant--I,1
goatherd;,1
would,1218
forgotten;",1
distributing,8
goatherd,,18
fainting,11
excommunicated,2
engaged,,2
off;,6
noontide;,1
off?,1
drolleries,7
off!,1
excellent,21
ironed,,1
off,,41
off.,15
abundance,11
Where,,2
goatherds,8
tender,,3
Where?,1
tender.,1
MAKING,2
Maria,,2
estate,4
cause,,10
contented,,2
preserving,5
Haves;,1
overheard,8
"mortal,1
"By,51
not.",11
"while,1
attract,2
overpowered,1
ceremony,10
damages:,1
ONE,12
damages.,1
damages,,1
"Silence,,1
Durandarte,6
both.,2
assistance.,1
both,,3
assistance,,1
lump,2
assistance;,2
both;,3
cankerworm,1
parallel,1
Arabic,,6
suspense?,1
splendid,4
suspense;,1
amid,6
colloquial,,1
suspense,,4
upside,5
overtops,1
Beyond,1
reforming,1
body,",1
oath;,2
describes,,1
some--and,1
Lysippus,1
presonages,,1
known.,2
crumbs,3
disease,,1
Mambrino,,1
glutton;,1
beside,27
fealty,1
Segovia;,1
broken.",1
drachm,1
beans.",1
pickled,,1
Segovia,,4
diseases,1
prevented,19
dawned;,1
Fratin,1
malice;,2
gluttony,2
Sarra:,1
swaying,1
tilt.,1
Four,5
Sarra,,1
EXPRESS,1
exhilarated,1
"Life,1
dodged,1
sonnets,,2
sonnets.,1
railed,1
Curing-grounds,1
"Lift,1
Corpus,2
appurtenance,1
lair,1
day;,12
shuffle;"',1
sighing,5
Siguenza),1
outfit,,1
day,,62
Bretons,,1
lain,2
newly,10
livest,,4
brigands,,1
associate,1
went.,2
went,,8
WORD,2
half-hearted,1
days,159
Regumque,1
Niece,--By,1
officious,1
attractions,2
instantly.",1
lovable,1
lady's,,2
relations,6
attach,4
fiction,7
me;",6
me;',1
gowns,1
window-lattice.,1
attraction;,1
Motteux,,2
Montesinos,,19
Montesinos.,1
embellish,1
inarticulate,1
incur,3
attraction,,2
included.,1
Montesinos?,1
unsaid,1
lather,1
Montesinos;,2
begone,2
"make,2
gown.,3
twenty,,2
"didst,1
captive.",1
height,,3
sparrow,3
Teresa,,14
bridge,7
handkerchief,4
"hold,1
Teresa.,1
bumpkin,,1
Agramante,2
encamisados,3
car,5
promotion;,1
thoroughly,20
palaces;,2
thorough,1
musicians,,1
awake.",2
Bourbon,,1
death;',1
palaces,,2
palaces.,1
entreaties;,2
girl's,3
sings,,1
vindictive,,1
deserted,,1
testimony!",1
costume,,6
bucolics,,1
guest's,2
impels,1
Bound,2
"Fear,2
editions,,3
entertaining,2
swifter,1
pardoned,2
FOLLOWED,2
proceedings.,1
contracted;,1
rector,1
withdrawn.,1
afraid,,1
bail,2
ink-bottle.",1
departed,1
ailment.,1
proposed,14
spite,71
anger;,1
Moor,,16
Moor.,3
anger,,10
Moor?,1
borrowed,2
present.",6
aspire;,1
"You,50
about;,5
musical,,1
about?,1
good,",12
Laurcalco,,1
despite,4
knocks,4
about),1
undressed,3
about.,6
about,,36
beads,10
blackbreech.',1
anxiously,8
Mediterranean,1
spit,,1
Moors,29
byways,,1
ailments,1
thumbs,1
crystal;,1
penance,19
new.,1
new,,2
yawned,1
Cardenio,,35
Cardenio.,5
new;,1
fell.,1
disturbing,1
Cardenio:,1
Cardenio;,3
scourge--ah,1
"or,4
Chloris,3
grandmother,3
mud,1
'yes',2
finger,11
"on,3
harsh,,2
"of,6
discovery,8
giant's,4
deposed,1
however,37
now.",13
consists,6
news,35
creams,,1
drowsy,1
Among,9
fell;,2
"bring,2
fault,30
dearer,1
sultry,1
tale,",1
spurs,9
expense,9
Information,4
anchor;,1
Gymnosophists,1
miracle.",2
anchor,,1
cribbings,1
particular,",1
"you,19
appears,,1
beneficiary,2
appears?,1
carrots,1
loft,1
pecked,1
diligence,,2
Ricamonte",1
ancestors.,1
standing,,8
standing.,2
Saturdays,,1
captive.,1
joke,",1
captive,,8
apprehension,10
charms.,2
charms,,1
captive;,1
Bellona's,1
Writers,1
"Once,1
Churchman,1
gave,274
natives,1
Duenna,3
persecutors,1
accessories,2
Cordova,5
Tell,6
imposing,,1
"Mine,",1
forehead,7
joustings,1
estility.",1
tripes,2
subject),,1
greeted,3
myself?",1
staving,1
shortly,16
possessed,14
outlets;,1
ocean,3
neighs,,1
impediment,4
February.,1
outlets,,1
February,,1
possesses,4
leagues,32
burn,,1
water-wheel,,1
'with,4
bruise,1
proposes,2
break,,2
best.",2
rivulets,1
scattering,3
break',1
enlighten,2
league.,1
foot;,7
foot!,1
deaf,",2
mansion,,2
foot,,35
foot.,12
rivulet,,1
breaks,8
descending,3
almohaza,,1
consequence,,6
burns,1
burnt,3
league,,4
any?,1
foots,1
causes,,2
any;,6
mansions,2
zeal,7
contradict,1
any.,3
any,,12
causes;,1
any),3
(even,1
opinions.,1
opinions,,1
senor?",9
stringing,7
50,1
coward.",1
contests,1
rapidity,5
attack;,1
attack:,1
Doomed,1
berth;,1
persist,,2
loins,5
attack.,2
attack,,2
Doth,2
contest,,2
brawl,1
desire?",1
chest,,2
wolf's,2
contest;,1
ridiculous,",1
collar,,1
attacks,3
plying,3
dinner,14
Mutius?,1
'for,,1
ermine;,2
duke,149
thanked),,1
orders,38
brother-in-law,2
worship,",14
obscene,1
bath,1
bats,1
ermine,,1
grave.",4
salutiferous,1
villain,,5
guts,1
watch,,1
sunlight,1
albogues?",1
stuck,6
Friton,",1
Mantua,2
morn,1
Infamous,1
ah!,2
fragrance,4
ah,,2
hell.",2
pricked,2
fooleries,,1
donate,,1
donate.,1
exception,",1
beaten!,1
flavour,10
zagals,,1
beaten,,1
"Plain,2
effigy,,1
Laida,,1
knight's,4
upset,8
"Imitatio,1
suspicions,5
cobbler,3
Unfortunate,1
supper,,9
supper.,2
grasp,,3
grasp.,1
stall-keeper,1
innkeeper;,1
counterpane,1
pledging,2
Almodovar,,1
when,864
majordomo,21
innkeeper.,1
innkeeper,,5
sack.,1
thirstier,,1
soundly,3
belongs,,1
moustache,,1
whey,1
picture,7
dark;,1
affected.",1
suppers,1
vanquished.,3
vanquished,,10
suspicion,,4
dark,,10
Maguncia,,1
dark.,1
pigeon-house,1
flushed,1
night?",1
faster,5
moustaches,3
paper,,7
exalts,2
paper.,2
vigorously,3
uncovered,6
moustached,1
luck.,2
remarked,7
'Peace,1
Frontino,2
"his,2
paper;,3
winnings,1
affair,36
rob,22
rod,1
uncovered,,1
endowed,,1
yoked,2
wind;",1
fellow-captives,1
row,5
signature?",1
Methuselah;,1
passage,7
mourning,,3
post.,1
standard.,1
post,,3
cloud,,3
Methuselah,,1
skylight,1
she-ass,,1
exalted,25
she-ass;,1
man's,,1
yoke,,1
winning,,1
winning.,1
bathos,1
married,,6
annihilated,1
clouds,6
impressive,1
best,,8
determination,,2
sharpness.,1
posts,2
best;,6
"Despair,1
married;,4
sharpness;,1
Fingida,",1
injunction,5
long-winded,1
widened,1
bales,1
port,5
irritated,3
stately,3
occurrence.",1
arrived,,8
"riding,1
goes,66
jilted,1
arrived.,1
Gutierre,1
SCRIPSERUNT,1
afterwards.,1
slaying,4
chest.,1
requited,3
entertain,12
witch,2
afterwards?,1
demolishing,2
boast,5
held;",1
beautiful;,5
olive-bordered,1
picturing,1
beautiful),1
beautiful,,12
complainant;,1
beautiful.,2
case),2
case,,27
case.,6
It's,2
These,,1
hands.",1
bribery,1
inclination--a,1
"Alexandra."',1
antagonists,1
crisis,1
quarter,",1
prey,7
"Rogue!,1
These,20
cased,1
fuel,1
hack--,1
Elches,,1
cases,8
and,,183
Cervatos,2
readily,,2
readily.,1
Felixmarte,5
readily;,1
figure,37
translators,2
eight;,1
choke,1
shovels,,1
eight,,1
sirs,",6
Noble,1
galleys?",1
dear?",1
naivete,1
vital,1
fourth,8
story?",1
Nerbia,,1
flitches,1
Sapient,,1
up.,6
owned,,1
eighty,4
plentiful,,1
informs,1
trickling,1
pay.",1
representations,3
plentiful:,1
owned;,1
eighth,1
Sorrento,,1
displaying,,2
succeeded,11
roarings,1
inform,14
reaper,1
stone.",2
sister-in-law.,1
think.",1
representation,2
lamented,1
permission,,4
doubt.",1
August,,1
porter,,1
him;',2
joins,1
PARTAKE,2
weather,,1
it;-moreover,1
hence,,1
dreading,2
RARE,2
pervade,1
farmer,15
Sarra,",1
Rome,6
quarts;,1
porters,1
gushing,1
inheriting,1
"Lothario,,1
expatiate,1
well-bearded,2
villages.,2
busts,1
houses.,2
torch,4
moanings,1
catching,5
farewell,9
Eugenio,1
putrid,1
steer,,2
Madrid.,1
"never,1
Madrid,,7
mortar!,1
Virgin.,1
liveliness,1
lousier;,1
abounding,1
"besides,1
doing.",1
costumes,2
"I,",3
charging!,1
clown,16
importance,,6
importance.,1
mended,1
play-actor,1
looking-glass,1
suggestion,,1
envied,4
matrimony,,1
matrimony.,2
Spains,1
Toboso's,1
vainglorious,2
saturnine,,1
greatest.,1
satisfactory;,1
cheerfully,1
spurned,1
virgin,1
salaams,2
burying,6
manger;,1
seeker,1
DEATH",2
ducked,,1
speedily.',1
Lothario.,4
Lothario,,34
Aragonese.",1
men's,9
Spain;,7
Spain:,1
Lothario;,4
tellest,1
Spain",1
towers;,2
Spain.,10
Spain,,31
remounted,1
Tartesians,,1
bewitch,1
France;,1
elegies.,1
num-skull,,1
cards,4
theological,,1
"They'll,1
first!",1
translators,,1
stiffest,1
wilds.",1
hearers,,2
Esquivias,1
hearers.,1
"Brother,,2
sincerity.,2
farmer's,3
France.,1
wandered,6
sciences,4
"Far,1
resembling,2
commonplace,5
melancholy.,1
dishonoured,,1
otherwise.",1
spangles,1
donation,1
"Project,5
fooleries;,1
draperies,,1
ant.",1
Whoever,1
terms,",1
proud,11
science,,3
owed;,1
"unless,,1
mistresses,6
cheat,3
Moon.",1
cheap,3
poison-breathing,1
trod,2
dirge,1
dances,,1
trot,2
Riphaean,1
gulf,2
joke.,1
written,64
joke,,10
mind.,10
believing,7
deign,4
joke;,3
contrivance,,2
life-blood,1
fatherly,1
horrible,2
mortally,1
space.,1
crew!,1
haply,,1
contrivances,1
complaining?",1
martial,1
jokes,10
hoped,,1
stopping,,3
stopping.,2
ill-told,,1
madnesses,1
knighthood's,1
henceforth,,1
signs,40
slashing,8
Perlerino,,1
"thou,12
all.",16
relief?,1
voluntary,2
crooked,3
munching,2
relief,,10
rationality.,1
heathens,",1
rumours,1
shapes,,1
guitar,6
disrespectfully,1
hempen,1
harshly,3
shapes;,2
acquiring,1
quiet,25
designations,1
surface.,1
"get,3
descried,,1
period,6
insist,1
firmly,,1
Perlerines,1
Antonomasia's,1
universities;,1
'Lord'--Sancho,",1
candour,,1
SALLY,4
lukewarmly,1
direction,11
unguents,,1
nation!,1
with,",1
1.F.,1
spirit,28
pilot,2
case,85
clearly,,3
disappeared,,1
cash,1
disappeared.,2
course?,1
cast,20
disappeared;,1
Open,1
paying;,1
Periquillo;,1
impaled,2
impossibility.,3
Cervantes,",2
shopkeeper,1
attractions.,1
XXV,2
cirimony,,1
author,67
fluctuations;,1
granted,18
XXX,2
eighteen,,1
eighteen.,2
men-servants,1
XXI,2
frequented,1
week,4
fortress,,5
"Simplicity,,1
weed,1
director,1
petticoat,14
archbishop's,1
statue,2
islands.",1
weep,23
XX.,2
plaintively,,1
supper-time,1
delectable,3
drunken,,1
brain,,4
without,719
relief,24
thefts!,1
speechifying,1
Germany,,3
bodies,7
sinner,15
to-morrow's,1
indignant,,2
indignant.,1
whereat,12
damsel's,4
cease,8
"Such,,3
polish,1
ill-conditioned,6
happiness.,4
happiness,,6
favouring,4
ditties,1
lets,2
setting,21
happiness;,1
gain;',1
sucked,1
Countless,2
Many,9
disproportioned,1
sack,,2
acute,6
towel,2
aloft,,1
donations,11
tower,7
dinner.",1
snatches,1
Hircania,1
vain?,1
down.",2
Master,74
snatched,3
redeeming,2
ill-matched,2
topazes,1
lentils,1
mood,3
frees,1
experience;",1
moon,12
translating,,1
moor,1
Shershel,,2
"Suddenly,1
unmask,1
slaughter,1
parishioners,1
resurrection,2
Blush,1
ploughs,,1
courbash,2
free;,2
impulses.,2
bent,,2
discussed,4
advancement,,2
able!",1
own,,29
whence,22
free.,6
free,,14
swap,,1
own.,13
tribe,1
"Probably,",1
curses,8
instruments,11
wine?",1
cursed,12
rising,17
upstairs,2
flat,,4
halted,,1
satisfied,,9
there,1014
Carolea,",1
parts.,2
assembled.,1
lady?",4
relic,1
it?",17
Tunis,1
instrument,,2
rouse,6
rue?,1
eBook,5
(1700),,1
instances,,2
student-shepherd,1
head-stalls;,1
grasp,6
countess,,6
juncture;,1
grass,16
furbished,,1
winnings,,2
cloisters,,1
solitudes,,4
bullet,,1
galliot,,1
"with,6
tasty,1
occupied,,2
XLVIII,2
Sigismunda.",1
onerous,1
"seems,1
deserve,31
roses,2
Guadiana,4
tourney,,1
contradicted,1
galliots,1
START,1
dishonour,11
bullets,1
right--that,1
assassins,1
barbarians;",1
Majesty,13
wife,85
"Jesus!,1
rose,,6
treason,4
XLVII.,2
renegade?",1
wine-skin,,2
glimpse,4
apartment,2
liar.,1
subsided,1
extraneous,1
revengeful,1
execrations,1
liar;,1
decision.,1
decision,,3
penance.",1
cheerfully,,2
cheerfully.,1
wine-skins,4
gainsay,1
treating,6
chapfallen,1
remission.',1
list,5
owner,,5
singularly,1
liars,1
threshing,2
renouncing,1
say,",17
say,',1
employing,2
abstracted,1
translating,2
negotiator,1
invention,13
East,1
toe,,1
whereer,1
Dapple--for,1
risen,8
freely,,6
sun,50
sum,12
rascal,1
brief,1
licentiate,,19
freely;,1
version,8
pulpit,4
Nowhere,1
sup,7
licentiate;,3
equipment.",1
Mary.'",1
womb,2
Barba,1
borders;,1
when,,22
when.,1
'Transformations.'",1
tragedy,2
headaches,,1
naval,1
'twere,1
"If,,3
must;,1
cart.",1
stiffness,1
must,,3
incomplete,,1
tramping,5
horse;,4
solitude,8
excused;,1
Providence,1
enlivened,2
hamlets,2
horse.,7
EXECUTIONERS,2
horse,,34
seneschal,2
respected.,2
rustic,10
bull-fights,1
respected;,1
garnish,1
horses,17
flat,2
darting,1
flap,2
Antonio's,12
uncle's,3
mire,1
sorcery,1
flax,1
Morocco,2
flag,1
Mass,2
miry,1
hissed,2
flam,1
injuries,,4
hour,",1
presumed,1
Orbaneja,,2
red-bearded,,1
ineffectual,1
corner.',1
Basque,1
salted,2
metamorphosis,1
arithmetician.",1
stomach.",2
terrestrial,1
rather,139
letter.",2
untied,7
thee--take,1
unwillingly?,1
justice.",1
"Wounded,1
happen--and,1
fancy,,15
lighting,2
adventure,61
erudition,,1
fancy;,2
proclaimed,1
handsome.,1
short,87
quarters;,3
confirmed;,1
Lela,13
shore,6
life;--though,1
incongruity,,1
Micocolembo,,1
instruction,,2
closeness,1
pretext,1
wing.'",1
Muzaraque,,1
already,,11
quoted.,1
already.,2
already),2
birdcages,1
bout,1
already;,4
somebody,1
generously,2
entirely,",1
darkness.",1
hunted,1
proclaimed,,1
instructions,6
level,7
"which,,1
thing.",1
Maketh,1
accommodated,1
intolerable,3
pleasanter,3
weighs,1
diere.,1
weight,16
oppressed,2
disposal;,1
roof.,1
roof,,3
prowess.",1
brigantine,",1
fuit,",1
1614.,1
1614,,1
a-stern,,1
disquiet,1
hilt,3
candour,1
to-day,",1
hill,8
Plots,1
compounding,1
roofs,3
party,,5
west.",1
Pasamonte,'",1
prejudice,12
indemnified,1
fallen,46
rendered.",1
prophesied,1
Castle,2
distributive,3
story,104
leading,32
storm,7
store,10
temptations,2
mainstay,1
rightly,",1
stirrup-leather,,1
Rufo,,1
India,,1
luckily,1
immediately,,2
"When,7
aside,",1
temptation,,1
king,65
kind,74
plainly.,1
plainly,,8
scabbard,1
tongues,8
obstacles,1
exert,3
dainties,3
shrewd,13
hopelessly,2
dealer,,3
tongue;,1
inconvenience,3
numerous--that,1
Quintanona,',1
gilt,2
defensible,1
realms,,1
tongue.,4
tongue,,16
answer;',1
fertile,,1
1.F.5.,1
traditional,1
"DON,1
lying,30
hurried,,1
vaunted,1
restore,22
Profit,1
fairest,,1
Balbastro,1
gain;,2
"Palmerin,2
stubble,,1
inflexible,2
tunics,1
gain.,1
gain,,2
sound.",1
Honour,1
SIXTY-NINE,2
aught?",1
grievance.,1
accurate,1
OFF,2
gains,2
invoke,1
howl,,1
stubbles,1
grievances,3
heathenism.",1
histories.",2
bowshots,1
precaution,3
relentless,1
wrote,27
forego,2
city.,4
bib,,1
city,,34
of-never,1
city;,6
take;',1
Alcobendas,,1
threats,5
blurt,1
surmounted,1
windmills,",1
vile,,1
Apollonia,,2
afterwards,,9
fray,",1
chamber.,2
chamber,,10
grappling,2
sold,5
sole,18
confiscated,1
chamber;,2
betrayed,1
excellence,,3
wax?,1
anywhere'?,1
however.,1
however,,177
Trujillo,1
leave,",2
bequests,1
sheathe,1
distress,24
note-book,,2
sweet,37
sweep,3
harbour,5
regulated,1
village,119
startling,1
Shaping,1
pining,2
affectionate,2
flight,6
stay,',1
imagine?--know,1
imprudence,4
precision,2
liveries,,3
softest,3
demand,27
instructor,2
unconquered,5
Memoirs,1
beauty!,1
frozen,1
beauty.,9
beauty,,49
"here,4
beauty?,2
beauty;,6
poor.",1
credence,4
noddies,,1
constancy;,1
demon,2
outrages,,1
obstacle,4
constancy,,3
step.",1
away.,7
Thracian,1
away,,20
spindle:,1
'Ha,,1
away!,1
Manriques,,1
lie!",1
away;,6
Adventure,1
Treasury,,1
shirk,1
moans,,1
higher,18
Fool,2
GOOD,6
restraint,3
mankind.,1
mankind,,2
impede,1
sake,",1
lash,,2
urbanity.,1
daughter,,37
daughter.,7
magnified,1
daughter?,2
sneered,1
daughter;,7
vine-stocks,1
eaten;,1
unseen,5
fictitious,,1
eaten,,1
We're,1
questions,21
pity,,2
herself,",1
prince,7
meanest,2
myself.,6
"impossibility;",1
speedily,5
inducing,2
tormented,4
Forgotten,,1
offices,,1
offices.,1
FRIGHT,2
Thou,29
question,,7
question.,4
pate;,2
